Web Search interest: Apple Inc.
Worldwide; 2009-2014

Interest over time
Week,2009-2014
Somalia,10
Kyrgyzstan,10
Benin,10
Croatia,10
Egypt,10
Argentina,10
Moldova,9
Morocco,9
Syria,9
Macedonia (FYROM),9
Congo (DRC),9
Bulgaria,9
Venezuela,9
Yemen,9
Burkina Faso,9
Tunisia,8
Poland,8
Paraguay,8
Mauritania,8
Montenegro,8
Peru,8
Mali,8
Guinea,7
Serbia,7
Algeria,7
Sudan,6
Palestine,6
Bosnia and Herzegovina,6


Top cities for 2009-2014
City,2009-2014
Singapore (Singapore),100
New York (United States),97
San Francisco (United States),93
London (United Kingdom),85
Los Angeles (United States),81
Toronto (Canada),79
Montreal (Canada),73
Munich (Germany),65
Chicago (United States),65
Houston (United States),59
Berlin (Germany),59
Milan (Italy),56
Amsterdam (Netherlands),55
Rome (Italy),53
Paris (France),53



Top searches for 2009-2014
apple,100
apple store,20
iphone,10
apple iphone,10
mac,5
apple tv,5
ipad,5
ipad apple,5
apple mac,5
apple id,5
ipod,5
apple ipod,5
macbook,5
apple macbook,5
itunes,0
iphone 5,0
apple iphone 5,0
apple itunes,0
apple uk,0
samsung,0
iphone 4,0
apple iphone 4,0
apple trailers,0
apple.com,0
macbook pro,0
apple macbook pro,0
apple support,0
ipod touch,0
apple ipod touch,0
iphone 6,0
app store,0
apple computer,0
apple india,0
apple iphone 6,0
iphone 4s,0
apple app store,0
apple laptop,0
apple apps,0
apple mail,0
imac,0
apple ipad 2,0
apple imac,0
apple stock,0
iphone 5s,0
best buy,0
apple news,0
apple logo,0
icloud,0
apple iphone 5s,0
apple ipad mini,0



Rising searches for 2009-2014
apple iphone 5,Breakout
ipad,Breakout
ipad apple,Breakout
iphone 5,Breakout
apple id,+2,650%
apple tv,+250%
apple iphone,+150%
iphone,+140%
apple store,+120%
apple itunes,+40%



